,國文,英文,數學,社會,自然
0,12,7,9,6,10
1,8,7,9,12,11
2,10,15,11,8,13
3,13,12,9,8,6
4,13,8,14,6,15
5,14,14,9,7,11
6,11,15,8,7,9
7,14,12,12,13,10
8,6,12,9,6,12
9,10,6,14,15,12
10,9,15,12,9,14
11,10,9,14,9,13
12,11,13,7,6,15
13,12,10,9,11,8
14,7,9,8,12,13
15,8,7,10,12,14
16,13,8,6,8,6
17,8,12,12,12,13
18,7,7,10,10,10
19,12,13,14,15,11
20,15,10,6,9,9
21,15,14,7,8,11
22,10,6,13,6,12
23,8,14,11,11,10
24,7,9,12,7,6
25,8,14,14,8,10
26,14,12,10,6,13
27,11,13,12,6,14
28,14,8,12,10,12
29,6,7,15,7,10
30,8,13,10,12,8
31,9,10,11,14,10
32,8,12,8,7,7
33,9,15,15,9,6
34,6,11,12,9,12
35,10,13,11,6,10
36,13,15,10,9,15
37,12,8,13,13,13
38,12,8,8,8,13
39,13,14,10,12,8
40,14,11,10,14,9
41,6,15,10,14,6
42,10,10,11,10,14
43,6,8,7,8,15
44,11,9,11,8,7
45,12,13,9,6,10
46,15,8,9,10,14
47,13,9,14,9,6
48,10,14,7,14,13
49,13,11,8,11,14
50,15,6,15,15,7
51,12,13,13,7,13
52,8,15,11,15,8
53,7,6,12,6,13
54,15,12,14,6,15
55,9,14,11,13,10
56,11,12,15,9,14
57,9,10,15,7,11
58,8,6,6,10,12
59,12,14,8,11,14
60,7,11,8,6,10
61,7,13,8,8,14
62,11,12,10,15,7
63,10,14,7,10,8
64,9,14,9,8,11
65,13,7,15,10,11
66,11,7,14,9,11
67,6,15,9,14,7
68,8,7,12,6,12
69,14,13,11,6,7
70,8,7,14,13,7
71,9,7,9,14,10
72,8,7,8,9,9
73,11,7,10,9,13
74,10,11,9,12,15
75,13,7,7,8,9
76,7,7,7,13,12
77,9,13,6,13,6
78,6,15,10,11,7
79,8,15,15,8,14
80,12,11,9,10,7
81,10,8,8,9,6
82,14,9,7,9,7
83,15,9,10,10,6
84,15,11,15,11,10
85,15,13,15,6,9
86,9,11,8,10,10
87,9,9,13,11,15
88,6,11,12,15,15
89,12,8,10,10,9
90,7,6,10,14,13
91,11,10,7,9,13
92,11,6,8,14,13
93,13,15,7,10,6
94,7,11,15,7,9
95,14,8,10,8,12
96,11,11,11,14,8
97,15,8,10,10,12
98,7,15,10,12,13
99,11,12,12,14,10
